"state","statecode","year","consumption","price","eprice","oprice","lprice","pleasure","income"
"TX","44","1971","237387","99","204","617","92","No","865535"
"TX","44","1972","240662","101","207","623","99","No","894077"
"TX","44","1973","241478","104","211","722","101","No","934346"
"TX","44","1974","222603","117","241","1235","104","No","954215"
"TX","44","1975","232320","152","273","1305","117","No","96199"
"TX","44","1976","235637","199","312","148","152","No","998811"
"TX","44","1977","269964","239","355","1643","199","No","1030366"
"TX","44","1978","274849","273","38","1724","239","No","1082319"
"TX","44","1979","315857","321","416","2796","273","No","1113964"
"TX","44","1980","224800","34","487","3792","321","No","1139346"
"TX","44","1981","209045","42","591","4677","34","No","11883"
"TX","44","1982","221383","521","68","4386","42","No","116853"
"TX","44","1983","214479","555","726","4002","521","No","1143951"
"TX","44","1984","230311","582","74","4241","555","No","1181237"
"TX","44","1985","212676","577","75","4072","582","No","1207533"
"TX","44","1986","194602","531","69","2662","577","No","1171834"
"TX","44","1987","210738","521","672","2732","531","No","1154124"
"TX","44","1988","209957","537","688","2569","521","No","1196496"
"TX","44","1989","230099","555","698","3157","537","No","1223859"
"UT","45","1967","38935","68","225","674","69","No","746534"
"UT","45","1968","40779","74","223","695","68","No","756008"
"UT","45","1969","43948","83","22","72","74","No","766195"
"UT","45","1970","44637","85","217","746","83","No","78655"
"UT","45","1971","49849","87","223","792","85","No","802198"
"UT","45","1972","48855","9","224","792","87","No","829955"
"UT","45","1973","48647","99","223","92","9","No","846551"
"UT","45","1974","50347","107","229","1462","99","No","854047"
"UT","45","1975","59736","122","276","1654","107","No","841171"
"UT","45","1976","66417","138","317","1713","122","No","872493"
"UT","45","1977","35558","164","347","1893","138","No","897858"
"UT","45","1978","47783","193","408","1922","164","No","929523"
"UT","45","1979","60462","222","454","2627","193","No","934155"
"UT","45","1980","57639","274","553","4013","222","No","924402"
"UT","45","1981","54789","323","595","4788","274","No","924941"
"UT","45","1982","45957","341","63","48","323","No","903857"
"UT","45","1983","54938","426","691","3891","341","No","900102"
"UT","45","1984","54639","568","743","3641","426","No","935367"
"UT","45","1985","58727","486","778","4223","568","No","954496"
"UT","45","1986","57654","464","795","2353","486","No","960247"
"UT","45","1987","41536","497","795","2173","464","No","968896"
"UT","45","1988","42241","511","781","2248","497","No","991562"
"UT","45","1989","45168","514","739","3163","511","No","1019432"
"CA","5","1967","522122","93","214","669","93","No","1074959"
"CA","5","1968","517636","93","211","689","93","No","1108894"
"CA","5","1969","562127","93","207","714","93","No","11354"
"CA","5","1970","552544","99","212","74","93","No","1132817"
"CA","5","1971","630998","103","219","781","99","No","1121607"
"CA","5","1972","637289","108","234","786","103","No","1152743"
"CA","5","1973","615719","116","247","915","108","No","1171872"
"CA","5","1974","580009","138","308","145","116","No","1191196"
"CA","5","1975","631398","157","334","1631","138","No","1172146"
"CA","5","1976","599631","177","354","1812","157","No","1209757"
"CA","5","1977","541728","189","397","187","177","No","1238588"
"CA","5","1978","537412","199","42","1905","189","No","1292719"
"CA","5","1979","590732","247","418","261","199","No","1327328"
"CA","5","1980","529342","351","561","4031","247","No","1349137"
"CA","5","1981","488353","374","615","4602","351","No","1359327"
"CA","5","1982","537194","443","719","4573","374","No","132362"
"CA","5","1983","498601","541","676","4608","443","No","1333957"
"CA","5","1984","472151","584","71","4468","541","No","1395385"
"CA","5","1985","527495","572","778","3058","584","No","1436846"
"CA","5","1986","464307","514","795","4415","572","No","1458077"
"CA","5","1987","503473","526","803","3524","514","No","1491505"
"CA","5","1988","497138","564","869","3402","526","No","1534038"
"CA","5","1989","514276","559","945","4444","564","No","1553293"
